Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
184989,,,mlac,0,0,0,0,2712,1,0,1,0,0.033231,0.004573,0,1,0,1,0.000148
184990,,,ml360-nlp,0,0,0,0,1502,0,0,0,0,0,0,0,0,0,0,0.000147
184991,,,ml360-nlp-preprocess,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,0,0.000147
184992,,,mlagents-envs-jf,0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0,0.000147
185004,,,mlagents,1,1,1,4.5,2690,3,2,5,0.1,0.001932,0.027228,0.000725,3,2,5,0.00018
185005,,,mlagents-envs,2,0.75,0.833333,0,2690,0,4,4,0.083333,0,0,0.000722,0,4,4,0.000147
185013,,,mlagents-jf,0,0,0,0,1505,0,0,0,0,0,0,0,0,0,0,0.000147
185022,,,mlak,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0.000147
185053,,,mlbox,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0.000147
185069,,,mlchain-extension,0,0,0,0,1509,1,0,1,0,0.000402,0,0,1,0,1,0.000273
185073,,,ml-callbacks,0,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,0.000147
185079,,,mlchain,1,1,1,0,1509,0,1,1,0,0,0,0,0,1,1,0.000147
185085,,,mlchem,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,0,0.000147
185097,,,mlcf,0,0,0,0,1511,0,0,0,0,0,0,0,0,0,0,0.000147
